##  edited 08/09/2011  imperically determined concentricities for FOPS 24 and 240, verified on sky
210         0   Z  Z     0.0  0.0000
211        89   R  B    42.6 -2.9077
212        20   B  A     9.4 -1.8027
213         0   Z  Z     0.0  0.0000
214        78   R  A    13.0 -2.8340
215        33   B  A    26.7  3.1077
216         9   F  A    13.8 -2.5929
217        69   R  A    26.2 -2.2306
218        35   B  A    23.5  2.4786
219         0   S  L     0.0  0.0000
220        23   R  A     7.0 -2.2339
221        36   B  A    19.9  2.9468
222         0   Z  Z     0.0  0.0000
223        79   R  A    24.7 -2.9860
224        29   B  A    16.2  2.5986
225         0   Z  Z     0.0  0.0000
226        93   R  B    20.2 -2.8277
227        57   B  A    19.8  2.6658
228         0   Z  Z     0.0  0.0000
229        15   R  A    10.3  2.8475
230        21   B  A    13.8 -3.3454
231         0   Z  Z     0.0  0.0000
232        74   R  A    23.5  1.7734
233        76   B  A    36.7  2.4470
234         0   Z  Z     0.0  0.0000
235        44   R  A    14.9  1.3920
236        32   B  A    14.2 -2.6368
237         0   Z  Z     0.0  0.0000
238        84   R  A     7.1  2.4683
239        86   B  B    14.9 -2.0434
240        10   F  A    19.0  2.269
241        21   R  A    27.0  1.9130
242        59   B  B    18.3  1.0765
243         0   Z  Z     0.0  0.0000
244        94   R  A    22.1  2.9710
245        61   B  A    19.2  2.4733
246         0   Z  Z     0.0  0.0000
247        17   R  A    23.5  0.5263
248        49   B  A     7.5  2.1391
249         0   Z  Z     0.0  0.0000
250        75   R  B    25.3 -3.3089
251        28   B  A     6.5 -0.2708
252         0   Z  Z     0.0  0.0000
253        62   R  A    33.2  2.9608
254        92   B  A    12.8 -2.9581
255         0   Z  Z     0.0  0.0000
256        95   R  B    19.4 -1.8786
257         8   B  B    31.3 -2.9894
258         0   Z  Z     0.0  0.0000
259        22   R  B    17.9 -1.8505
260        34   B  B    14.0 -2.1662
261         0   Z  Z     0.0  0.0000
262        48   R  B    26.9 -2.9251
263        40   B  B    21.7 -3.0920
264        11   F  B    16.2 -2.5770
265        60   R  B    29.0 -3.3924
266         6   B  A    26.2 -2.4890
267         0   Z  Z     0.0  0.0000
268        29   R  A    36.0  1.0823
269        12   B  B    31.3  3.1035
270         0   Z  Z     0.0  0.0000
271        55   R  B    69.0 -3.0529
272        44   B  A    13.4 -2.6677
273         0   Z  Z     0.0  0.0000
274        72   R  A    31.8  0.4319
275        10   B  A    18.3 -0.9180
276        58   R  A    16.9 -3.0180
277        30   R  B     0.0  0.0000
278         2   B  A    36.5 -3.9719
279        85   R  A    40.8  5.7700
280        81   R  A     3.8  1.7263
281        68   B  A    15.8 -4.1204
282         0   Z  Z     0.0  0.0000
283        46   R  B    29.7 -2.9573
284        37   B  A    20.1  0.5879
285         0   Z  Z     0.0  0.0000
286        39   R  A    20.1  1.0305
287        91   B  A    35.7 -3.4626
